Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"GT","Agriculture Total","102","Iran (Islamic Republic of)","7225","Emissions (CH4)","5058","Enteric Fermentation","1961","1961","gigagrams","473.9559","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","102","Iran (Islamic Republic of)","7231","Emissions (CO2eq)","5058","Enteric Fermentation","1961","1961","gigagrams","9953.0739","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","102","Iran (Islamic Republic of)","7244","Emissions (CO2eq) from CH4","5058","Enteric Fermentation","1961","1961","gigagrams","9953.0739","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","102","Iran (Islamic Republic of)","7225","Emissions (CH4)","5058","Enteric Fermentation","1962","1962","gigagrams","486.4779","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","102","Iran (Islamic Republic of)","7231","Emissions (CO2eq)","5058","Enteric Fermentation","1962","1962","gigagrams","10216.0359","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","102","Iran (Islamic Republic of)","7244","Emissions (CO2eq) from CH4","5058","Enteric Fermentation","1962","1962","gigagrams","10216.0359","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","102","Iran (Islamic Republic of)","7225","Emissions (CH4)","5058","Enteric Fermentation","1963","1963","gigagrams","441.1645","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","102","Iran (Islamic Republic of)","7231","Emissions (CO2eq)","5058","Enteric Fermentation","1963","1963","gigagrams","9264.4545","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","102","Iran (Islamic Republic of)","7244","Emissions (CO2eq) from CH4","5058","Enteric Fermentation","1963","1963","gigagrams","9264.4545","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","102","Iran (Islamic Republic of)","7225","Emissions (CH4)","5058","Enteric Fermentation","1964","1964","gigagrams","436.1619","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","102","Iran (Islamic Republic of)","7231","Emissions (CO2eq)","5058","Enteric Fermentation","1964","1964","gigagrams","9159.3999","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","102","Iran (Islamic Republic of)","7244","Emissions (CO2eq) from CH4","5058","Enteric Fermentation","1964","1964","gigagrams","9159.3999","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","102","Iran (Islamic Republic of)","7225","Emissions (CH4)","5058","Enteric Fermentation","1965","1965","gigagrams","438.5458","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","102","Iran (Islamic Republic of)","7231","Emissions (CO2eq)","5058","Enteric Fermentation","1965","1965","gigagrams","9209.4618","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","102","Iran (Islamic Republic of)","7244","Emissions (CO2eq) from CH4","5058","Enteric Fermentation","1965","1965","gigagrams","9209.4618","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","102","Iran (Islamic Republic of)","7225","Emissions (CH4)","5058","Enteric Fermentation","1966","1966","gigagrams","429.9805","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","102","Iran (Islamic Republic of)","7231","Emissions (CO2eq)","5058","Enteric Fermentation","1966","1966","gigagrams","9029.5905","A","Aggregate, may include official, semi-official, estimated or calculated data",""
