Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","51","Beer of barley","1961","1961","tonnes","8000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","51","Beer of barley","1962","1962","tonnes","7000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","51","Beer of barley","1963","1963","tonnes","5300","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","51","Beer of barley","1964","1964","tonnes","6000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","51","Beer of barley","1965","1965","tonnes","12600","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","51","Beer of barley","1966","1966","tonnes","16000","","Official data"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","51","Beer of barley","1967","1967","tonnes","11000","","Official data"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","51","Beer of barley","1968","1968","tonnes","26000","","Official data"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","51","Beer of barley","1969","1969","tonnes","32000","","Official data"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","51","Beer of barley","1970","1970","tonnes","32000","","Official data"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","51","Beer of barley","1971","1971","tonnes","32000","","Official data"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","51","Beer of barley","1972","1972","tonnes","37000","","Official data"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","51","Beer of barley","1973","1973","tonnes","47000","","Official data"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","51","Beer of barley","1974","1974","tonnes","47000","","Official data"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","51","Beer of barley","1975","1975","tonnes","50000","*","Unofficial figure"
