Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6602","Agriculture","1961","1961","1000 ha","59271","Fc","Calculated data"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6602","Agriculture","1962","1962","1000 ha","59290","Fc","Calculated data"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6602","Agriculture","1963","1963","1000 ha","59350","Fc","Calculated data"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6602","Agriculture","1964","1964","1000 ha","59410","Fc","Calculated data"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6602","Agriculture","1965","1965","1000 ha","59470","Fc","Calculated data"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6602","Agriculture","1966","1966","1000 ha","59480","Fc","Calculated data"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6602","Agriculture","1967","1967","1000 ha","59550","Fc","Calculated data"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6602","Agriculture","1968","1968","1000 ha","59600","Fc","Calculated data"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6602","Agriculture","1969","1969","1000 ha","59670","Fc","Calculated data"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6602","Agriculture","1970","1970","1000 ha","59700","Fc","Calculated data"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6602","Agriculture","1971","1971","1000 ha","60154","Fc","Calculated data"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6602","Agriculture","1972","1972","1000 ha","60800","Fc","Calculated data"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6602","Agriculture","1973","1973","1000 ha","61481","Fc","Calculated data"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6602","Agriculture","1974","1974","1000 ha","60960","Fc","Calculated data"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6602","Agriculture","1975","1975","1000 ha","60440","Fc","Calculated data"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6602","Agriculture","1976","1976","1000 ha","59950","Fc","Calculated data"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6602","Agriculture","1977","1977","1000 ha","59693","Fc","Calculated data"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6602","Agriculture","1978","1978","1000 ha","58867","Fc","Calculated data"
