Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1961","1961","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1962","1962","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1963","1963","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1964","1964","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1965","1965","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1966","1966","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1967","1967","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1968","1968","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1969","1969","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1970","1970","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1971","1971","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1972","1972","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1973","1973","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1974","1974","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1975","1975","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1976","1976","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1977","1977","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1978","1978","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1979","1979","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1980","1980","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1981","1981","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1982","1982","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1983","1983","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1984","1984","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1985","1985","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1986","1986","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1987","1987","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1988","1988","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1989","1989","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1990","1990","Head","","M","Data not available"
"TA","Live animals","102","Iran (Islamic Republic of)","5608","Import Quantity","1171","Animals live nes","1991","1991","Head","","M","Data not available"
