Item,Year,Price per Kg in Rial
Apples,1997,604.9883
Apples,1998,540.211
Apples,1999,848.5848000000001
Apples,2000,1133.0186999999999
Apples,2001,992.243
Apples,2002,1759.9036
Apples,2003,1591.0805999999998
Apples,2004,1784.6136
"Beans, dry",1997,2069.2434000000003
"Beans, dry",1998,1966.5603999999998
"Beans, dry",1999,2250.3768
"Beans, dry",2000,2692.9969
"Beans, dry",2001,4079.2897
"Beans, dry",2002,4158.7047
"Beans, dry",2003,3752.394
"Beans, dry",2004,3611.4309
Dates,1997,1082.1426
Dates,1998,1204.8148
Dates,1999,1532.7927999999997
Dates,2000,1327.8727
Dates,2001,1588.2051
Dates,2002,2409.1616
Dates,2003,2013.0201
Dates,2004,2705.3433000000005
Eggplants (aubergines),1997,552.1872999999999
Eggplants (aubergines),1998,417.74180000000007
Eggplants (aubergines),1999,376.31440000000003
Eggplants (aubergines),2000,530.1175
Eggplants (aubergines),2001,568.8449
Eggplants (aubergines),2002,527.6948000000001
Eggplants (aubergines),2003,804.5526
Eggplants (aubergines),2004,1161.8936999999999
"Fruit, citrus nes",2002,1521.6121
"Fruit, citrus nes",2003,1873.7390999999998
"Fruit, citrus nes",2004,1515.0267
"Fruit, fresh nes",1997,593.8722999999999
"Fruit, fresh nes",1998,482.503
"Fruit, fresh nes",1999,639.1503999999999
"Fruit, fresh nes",2000,842.457
"Fruit, fresh nes",2001,946.0205
"Fruit, fresh nes",2002,888.9309
"Fruit, fresh nes",2003,1586.1648
"Fruit, fresh nes",2004,1757.052
Garlic,1997,680.5771
Garlic,1998,2360.2572
Garlic,1999,2539.4964000000004
Garlic,2000,1584.0484
Garlic,2001,1435.3627
Garlic,2002,2932.0215
Garlic,2003,1890.9444
Garlic,2004,1863.8532
"Honey, natural",1997,5139.4826
"Honey, natural",1998,14230.151600000001
"Honey, natural",1999,15044.232
"Honey, natural",2000,15618.694300000001
"Honey, natural",2001,15003.8235
"Honey, natural",2002,18868.5426
"Honey, natural",2003,19063.472400000002
"Honey, natural",2004,22774.494599999998
Lentils,1997,1676.2928
Lentils,1998,2536.5872000000004
Lentils,1999,4411.4728000000005
Lentils,2000,3870.7174
Lentils,2001,2426.3731000000002
Lentils,2002,2674.3903999999998
Lentils,2003,2333.3664
Lentils,2004,3484.8198
"Meat live weight, cattle",1997,4353.3035
"Meat live weight, cattle",1998,6013.1736
"Meat live weight, cattle",1999,7322.6944
"Meat live weight, cattle",2000,8025.119299999999
"Meat live weight, cattle",2001,8561.023299999999
"Meat live weight, cattle",2002,11574.7506
"Meat live weight, cattle",2003,14395.9203
"Meat live weight, cattle",2004,14875.512299999999
"Meat live weight, sheep",1997,4764.8733999999995
"Meat live weight, sheep",1998,5882.3688
"Meat live weight, sheep",1999,7466.211199999999
"Meat live weight, sheep",2000,9025.751900000001
"Meat live weight, sheep",2001,10384.038700000001
"Meat live weight, sheep",2002,13225.5236
"Meat live weight, sheep",2003,16307.347200000002
"Meat live weight, sheep",2004,17151.9282
"Onions, dry",1997,239.8277
"Onions, dry",1998,552.0731999999999
"Onions, dry",1999,457.2511999999999
"Onions, dry",2000,796.0359
"Onions, dry",2001,580.5545999999999
"Onions, dry",2002,559.467
"Onions, dry",2003,794.721
"Onions, dry",2004,761.3892000000001
Oranges,1997,663.3472999999999
Oranges,1998,881.9706000000001
Oranges,1999,955.8051999999999
Oranges,2000,1180.0129000000002
Oranges,2001,1354.0111
Oranges,2002,2224.7447
Oranges,2003,2140.8309
Oranges,2004,1614.9375
Potatoes,1997,343.2065
Potatoes,1998,602.0868
Potatoes,1999,715.9151999999999
Potatoes,2000,950.1998000000001
Potatoes,2001,531.2506
Potatoes,2002,824.6958000000001
Potatoes,2003,1091.3075999999999
Potatoes,2004,941.4009
"Rice, paddy",1997,1096.8713
"Rice, paddy",1998,2179.4388
"Rice, paddy",1999,3114.398
"Rice, paddy",2000,1942.809
"Rice, paddy",2001,2385.081
"Rice, paddy",2002,3023.8846000000003
"Rice, paddy",2003,3140.3768999999998
"Rice, paddy",2004,4113.5688
Soybeans,1997,1094.926
Soybeans,1998,1133.321
Soybeans,1999,1449.3528
Soybeans,2000,1796.6685
Soybeans,2001,1890.1920999999998
Soybeans,2002,2246.8471
Soybeans,2003,2324.3541
Soybeans,2004,2431.4499
Sunflower seed,1997,1619.6012
Sunflower seed,1998,1764.5824
Sunflower seed,1999,1755.1604
Sunflower seed,2000,2347.9907
Sunflower seed,2001,2618.0424
Sunflower seed,2002,2460.9641
Sunflower seed,2003,2617.6635
Sunflower seed,2004,2621.7971999999995
Tea,1998,760.1426
Tea,1999,949.9644
Tea,2000,1248.7849
Tea,2001,1359.5578
Tea,2002,1515.3958
Tea,2003,1532.9103
Tea,2004,881.9712000000001
"Tobacco, unmanufactured",1998,2630.2024
"Tobacco, unmanufactured",1999,3376.8167999999996
"Tobacco, unmanufactured",2000,3942.3549
