Element,Item,Year,Unit,Value
Export Value,Almonds shelled,1997,1000 US$,6329.0
Export Value,Almonds shelled,1998,1000 US$,6852.0
Export Value,Almonds shelled,1999,1000 US$,7147.0
Export Value,Almonds shelled,2000,1000 US$,6595.0
Export Value,Almonds shelled,2001,1000 US$,10787.0
Export Value,Almonds shelled,2002,1000 US$,37626.0
Export Value,Almonds shelled,2003,1000 US$,6213.0
Export Value,Almonds shelled,2004,1000 US$,4185.0
Export Value,Almonds shelled,2005,1000 US$,1963.0
Export Value,Almonds shelled,2006,1000 US$,5347.0
Export Value,Almonds shelled,2007,1000 US$,8596.0
Export Value,Almonds shelled,2008,1000 US$,7102.0
Export Value,Almonds shelled,2009,1000 US$,10202.0
Export Value,Almonds shelled,2010,1000 US$,13283.0
Export Value,Almonds shelled,2011,1000 US$,18786.0
Export Value,Almonds shelled,2012,1000 US$,12666.0
Export Value,Almonds shelled,2013,1000 US$,16688.0
Export Value,Almonds shelled,2014,1000 US$,22454.0
Export Value,Almonds shelled,2015,1000 US$,19374.0
Export Value,Almonds shelled,2016,1000 US$,33938.0
Export Value,Almonds shelled,2017,1000 US$,42334.0
