Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","1992","1992","USD","2349","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","1993","1993","USD","2172.4","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","1994","1994","USD","1810.8","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","1995","1995","USD","2282","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","1996","1996","USD","1690.8","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","1997","1997","USD","1590","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","1998","1998","USD","1551.7","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","1999","1999","USD","1183.5","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","2000","2000","USD","900.3","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","2001","2001","USD","774.2","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","2002","2002","USD","836.8","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","2003","2003","USD","967.3","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","2004","2004","USD","1223.9","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","2005","2005","USD","1765.5","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","2006","2006","USD","1391.7","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","2007","2007","USD","1400.7","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","2008","2008","USD","1300.8","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","2009","2009","USD","1859.1","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","2010","2010","USD","2563.4","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","2011","2011","USD","4457.6","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","2012","2012","USD","4789.7","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","2013","2013","USD","5111.2","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","2014","2014","USD","3600.2","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","2015","2015","USD","4357.8","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","2016","2016","USD","4757.6","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","2017","2017","USD","4358.8","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","221","Almonds, with shell","2018","2018","USD","7539.6","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","711","Anise, badian, fennel, coriander","1998","1998","USD","3510.7","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","711","Anise, badian, fennel, coriander","1999","1999","USD","2965.3","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","711","Anise, badian, fennel, coriander","2000","2000","USD","1686.8","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","711","Anise, badian, fennel, coriander","2001","2001","USD","1850.1","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","711","Anise, badian, fennel, coriander","2002","2002","USD","1652","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","711","Anise, badian, fennel, coriander","2003","2003","USD","1430.2","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","711","Anise, badian, fennel, coriander","2004","2004","USD","1299.2","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","711","Anise, badian, fennel, coriander","2005","2005","USD","1352.4","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","1991","1991","USD","169","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","1992","1992","USD","183.3","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","1993","1993","USD","131.1","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","1994","1994","USD","205.4","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","1995","1995","USD","298.6","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","1996","1996","USD","219.3","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","1997","1997","USD","217.7","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","1998","1998","USD","168.5","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","1999","1999","USD","203.4","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","2000","2000","USD","197.7","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","2001","2001","USD","161","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","2002","2002","USD","254.8","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","2003","2003","USD","194.2","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","2004","2004","USD","207.2","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","2005","2005","USD","214.8","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","2006","2006","USD","304.2","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","2007","2007","USD","423","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","2008","2008","USD","464.3","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","2009","2009","USD","634.4","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","2010","2010","USD","594.1","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","2011","2011","USD","699.6","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","2012","2012","USD","627.1","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","2013","2013","USD","797.2","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","2014","2014","USD","585.7","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","2015","2015","USD","441.5","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","2016","2016","USD","493.9","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","2017","2017","USD","422.5","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","515","Apples","2018","2018","USD","767.6","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","1991","1991","USD","325.8","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","1992","1992","USD","344.5","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","1993","1993","USD","284.5","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","1994","1994","USD","254.8","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","1995","1995","USD","368.8","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","1996","1996","USD","261.6","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","1997","1997","USD","220.1","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","1998","1998","USD","390.1","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","1999","1999","USD","307.8","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","2000","2000","USD","266.1","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","2001","2001","USD","279.2","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","2002","2002","USD","365.3","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","2003","2003","USD","379.6","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","2004","2004","USD","563.4","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","2005","2005","USD","335.8","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","2006","2006","USD","295.4","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","2007","2007","USD","589.4","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","2008","2008","USD","500.2","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","2009","2009","USD","1651.5","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","2010","2010","USD","1349.7","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","2011","2011","USD","1085.6","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","2012","2012","USD","1374.3","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","2013","2013","USD","1498.8","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","2014","2014","USD","2026.9","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","2015","2015","USD","1236.1","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","2016","2016","USD","983.7","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","2017","2017","USD","864.9","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","526","Apricots","2018","2018","USD","1081.7","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","486","Bananas","2002","2002","USD","832.5","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","486","Bananas","2003","2003","USD","257.4","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","486","Bananas","2004","2004","USD","306.1","","Official data"
"PP","Producer Prices - Annual","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","486","Bananas","2005","2005","USD","216.3","","Official data"
