Domain Code,Domain,Area Code,Area,ISO Currency Code,Currency,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1970","1970","","75.75","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1971","1971","","75.75","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1972","1972","","75.75","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1973","1973","","68.8869","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1974","1974","","67.6448","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1975","1975","","67.6584","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1976","1976","","70.2426","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1977","1977","","70.6373","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1978","1978","","70.4956","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1979","1979","","70.4956","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1980","1980","","70.6354","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1981","1981","","78.3508","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1982","1982","","83.6269","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1983","1983","","86.3831","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1984","1984","","90.056","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1985","1985","","207.3","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1986","1986","","217.5","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1987","1987","","221.6","X","International reliable sources","Data from UNSD AMA"
