Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1961","1961","ha","15000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1962","1962","ha","15000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1963","1963","ha","13000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1964","1964","ha","13000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1965","1965","ha","13000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1966","1966","ha","9000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1967","1967","ha","15000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1968","1968","ha","20000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1969","1969","ha","20000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1970","1970","ha","20000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1971","1971","ha","30000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1972","1972","ha","30000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1973","1973","ha","30000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1974","1974","ha","30000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1975","1975","ha","30000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1976","1976","ha","30000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1977","1977","ha","30000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1978","1978","ha","30000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1979","1979","ha","30000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1980","1980","ha","30000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1981","1981","ha","30000","F","FAO estimate"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1982","1982","ha","28489","","Official data"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1983","1983","ha","33398","","Official data"
"QC","Crops","102","Iran (Islamic Republic of)","5312","Area harvested","221","Almonds, with shell","1984","1984","ha","33924","","Official data"
