Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1961","1961","Head","2034000","","Official data"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1962","1962","Head","2069000","","Official data"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1963","1963","Head","2100000","","Official data"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1964","1964","Head","2000000","","Official data"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1965","1965","Head","2000000","","Official data"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1966","1966","Head","2028000","","Official data"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1967","1967","Head","2018000","","Official data"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1968","1968","Head","2018000","","Official data"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1969","1969","Head","2020000","F","FAO estimate"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1970","1970","Head","2020000","F","FAO estimate"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1971","1971","Head","2023293","","Official data"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1972","1972","Head","2000000","F","FAO estimate"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1973","1973","Head","1961000","","Official data"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1974","1974","Head","2142000","","Official data"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1975","1975","Head","2159000","","Official data"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1976","1976","Head","2160000","F","FAO estimate"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1977","1977","Head","2170000","F","FAO estimate"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1978","1978","Head","2180000","F","FAO estimate"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1979","1979","Head","2190000","F","FAO estimate"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1980","1980","Head","2200000","F","FAO estimate"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1981","1981","Head","2210000","F","FAO estimate"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1982","1982","Head","2214000","","Official data"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1983","1983","Head","2200000","F","FAO estimate"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1984","1984","Head","2150000","F","FAO estimate"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1985","1985","Head","2100000","F","FAO estimate"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1986","1986","Head","2050000","F","FAO estimate"
"QA","Live Animals","102","Iran (Islamic Republic of)","5111","Stocks","1107","Asses","1987","1987","Head","2000000","F","FAO estimate"
