Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1961","1961","tonnes","16713","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1962","1962","tonnes","16128","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1963","1963","tonnes","15488","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1964","1964","tonnes","15750","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1965","1965","tonnes","15750","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1966","1966","tonnes","15222","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1967","1967","tonnes","15995","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1968","1968","tonnes","16345","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1969","1969","tonnes","15750","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1970","1970","tonnes","15488","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1971","1971","tonnes","15225","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1972","1972","tonnes","14963","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1973","1973","tonnes","14606","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1974","1974","tonnes","15106","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1975","1975","tonnes","14746","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1976","1976","tonnes","15750","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1977","1977","tonnes","16734","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1978","1978","tonnes","18876","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1979","1979","tonnes","18491","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1980","1980","tonnes","18113","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1981","1981","tonnes","18113","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1982","1982","tonnes","21700","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1983","1983","tonnes","18522","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1984","1984","tonnes","19152","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1985","1985","tonnes","19320","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1986","1986","tonnes","19726","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1987","1987","tonnes","18081","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1988","1988","tonnes","16937","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1989","1989","tonnes","18900","Fc","Calculated data"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1990","1990","tonnes","18725","Im","FAO data based on imputation methodology"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1991","1991","tonnes","18767","Im","FAO data based on imputation methodology"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1992","1992","tonnes","18354","Im","FAO data based on imputation methodology"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1993","1993","tonnes","18893","Im","FAO data based on imputation methodology"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1994","1994","tonnes","18935","Im","FAO data based on imputation methodology"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1995","1995","tonnes","15750","Im","FAO data based on imputation methodology"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1996","1996","tonnes","15339","Im","FAO data based on imputation methodology"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1997","1997","tonnes","14420","Im","FAO data based on imputation methodology"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1998","1998","tonnes","16205","Im","FAO data based on imputation methodology"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","1999","1999","tonnes","19215","Im","FAO data based on imputation methodology"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","2000","2000","tonnes","19425","Im","FAO data based on imputation methodology"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","2001","2001","tonnes","19600","Im","FAO data based on imputation methodology"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","2002","2002","tonnes","18480","Im","FAO data based on imputation methodology"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","2003","2003","tonnes","21441","Im","FAO data based on imputation methodology"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","2004","2004","tonnes","19950","Im","FAO data based on imputation methodology"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","2005","2005","tonnes","19038","Im","FAO data based on imputation methodology"
"QP","Livestock Processed","102","Iran (Islamic Republic of)","5510","Production","983","Butter and ghee, sheep milk","2006","2006","tonnes","19038","Im","FAO data based on imputation methodology"
