Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","10644","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","16349","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","11683","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","9572","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","10324","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","8746","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","5332","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","6307.96","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","7283.93","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","8259.89","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","9235.85","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","8809.76","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","9355.71","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","9854.61","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","9702.04","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","tonnes","7508.01","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","tonnes","7921.22","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","tonnes","5557.99","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","tonnes","2602.28","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","tonnes","2308.01","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","tonnes","2852.05","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","tonnes","3396.1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","tonnes","5733.28","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","tonnes","5173.01","A","Aggregate, may include official, semi-official, estimated or calculated data"
