Item,Year,Price per Kg in Rial,President,Population
Apples,1991,86.359,Akbar Hashemi Rafsanjani,57679034.00000001
Apples,1992,120.06150000000001,Akbar Hashemi Rafsanjani,58780370.0
Apples,1993,116.679,Akbar Hashemi Rafsanjani,59723764.0
Apples,1994,250.7934,Akbar Hashemi Rafsanjani,60590614.0
Apples,1995,515.085,Akbar Hashemi Rafsanjani,61442664.00000001
Apples,1996,481.1442,Akbar Hashemi Rafsanjani,62294920.0
Apples,1997,604.9883,Mohammad Khatami,63136312.00000001
Apples,1998,540.211,Mohammad Khatami,63971835.99999999
Apples,1999,848.5848000000001,Mohammad Khatami,64800880.0
Apples,2000,1133.0186999999999,Mohammad Khatami,65623405.0
Apples,2001,992.243,Mohammad Khatami,66449112.00000001
Apples,2002,1759.9036,Mohammad Khatami,67284796.0
Apples,2003,1591.0805999999998,Mohammad Khatami,68122938.0
Apples,2004,1784.6136,Mohammad Khatami,68951281.0
Apples,2005,1925.2524,Mahmoud Ahmadinejad,69762347.00000001
Apples,2006,2789.514,Mahmoud Ahmadinejad,70554760.0
Apples,2007,3925.863,Mahmoud Ahmadinejad,71336475.0
Apples,2008,4377.4204,Mahmoud Ahmadinejad,72120604.0
Apples,2009,6257.7216,Mahmoud Ahmadinejad,72924837.0
Apples,2010,6091.901400000001,Mahmoud Ahmadinejad,73762519.0
Apples,2011,7426.953600000001,Mahmoud Ahmadinejad,74634957.0
Apples,2012,7634.9425,Mahmoud Ahmadinejad,75539878.0
Apples,2013,14679.640800000001,Hassan Rouhani,76481961.0
Apples,2014,15193.6437,Hassan Rouhani,77465770.0
Apples,2015,12808.3565,Hassan Rouhani,78492215.0
Apples,2016,15268.4246,Hassan Rouhani,79563989.0
Apples,2017,14037.985,Hassan Rouhani,80673883.0
Apples,2018,31367.206400000003,Hassan Rouhani,81800188.0
"Beans, dry",1992,428.0425,Akbar Hashemi Rafsanjani,58780370.0
"Beans, dry",1993,451.23,Akbar Hashemi Rafsanjani,59723764.0
"Beans, dry",1994,985.2249,Akbar Hashemi Rafsanjani,60590614.0
"Beans, dry",1995,2104.155,Akbar Hashemi Rafsanjani,61442664.00000001
"Beans, dry",1996,1871.7014000000001,Akbar Hashemi Rafsanjani,62294920.0
"Beans, dry",1997,2069.2434000000003,Mohammad Khatami,63136312.00000001
"Beans, dry",1998,1966.5603999999998,Mohammad Khatami,63971835.99999999
"Beans, dry",1999,2250.3768,Mohammad Khatami,64800880.0
"Beans, dry",2000,2692.9969,Mohammad Khatami,65623405.0
"Beans, dry",2001,4079.2897,Mohammad Khatami,66449112.00000001
"Beans, dry",2002,4158.7047,Mohammad Khatami,67284796.0
"Beans, dry",2003,3752.394,Mohammad Khatami,68122938.0
"Beans, dry",2004,3611.4309,Mohammad Khatami,68951281.0
"Beans, dry",2005,3876.4975,Mahmoud Ahmadinejad,69762347.00000001
"Beans, dry",2006,6422.668,Mahmoud Ahmadinejad,70554760.0
"Beans, dry",2007,8291.6454,Mahmoud Ahmadinejad,71336475.0
"Beans, dry",2008,8836.8644,Mahmoud Ahmadinejad,72120604.0
"Beans, dry",2009,9722.944800000001,Mahmoud Ahmadinejad,72924837.0
"Beans, dry",2010,11887.4622,Mahmoud Ahmadinejad,73762519.0
"Beans, dry",2011,14012.0584,Mahmoud Ahmadinejad,74634957.0
"Beans, dry",2012,26368.615000000005,Mahmoud Ahmadinejad,75539878.0
"Beans, dry",2013,45432.8622,Hassan Rouhani,76481961.0
"Beans, dry",2014,34530.06509999999,Hassan Rouhani,77465770.0
"Beans, dry",2015,37705.5967,Hassan Rouhani,78492215.0
"Beans, dry",2016,48711.18980000001,Hassan Rouhani,79563989.0
"Beans, dry",2017,51849.173,Hassan Rouhani,80673883.0
"Beans, dry",2018,68692.384,Hassan Rouhani,81800188.0
Dates,1991,420.34860000000003,Akbar Hashemi Rafsanjani,57679034.00000001
Dates,1992,532.1875,Akbar Hashemi Rafsanjani,58780370.0
Dates,1993,447.136,Akbar Hashemi Rafsanjani,59723764.0
Dates,1994,574.6025999999999,Akbar Hashemi Rafsanjani,60590614.0
Dates,1995,1101.4125,Akbar Hashemi Rafsanjani,61442664.00000001
Dates,1996,779.0894000000001,Akbar Hashemi Rafsanjani,62294920.0
Dates,1997,1082.1426,Mohammad Khatami,63136312.00000001
Dates,1998,1204.8148,Mohammad Khatami,63971835.99999999
Dates,1999,1532.7927999999997,Mohammad Khatami,64800880.0
Dates,2000,1327.8727,Mohammad Khatami,65623405.0
Dates,2001,1588.2051,Mohammad Khatami,66449112.00000001
Dates,2002,2409.1616,Mohammad Khatami,67284796.0
Dates,2003,2013.0201,Mohammad Khatami,68122938.0
Dates,2004,2705.3433000000005,Mohammad Khatami,68951281.0
Dates,2005,2898.6341999999995,Mahmoud Ahmadinejad,69762347.00000001
Dates,2006,3130.638,Mahmoud Ahmadinejad,70554760.0
Dates,2007,3817.2753000000002,Mahmoud Ahmadinejad,71336475.0
Dates,2008,5837.8176,Mahmoud Ahmadinejad,72120604.0
Dates,2009,8226.576,Mahmoud Ahmadinejad,72924837.0
Dates,2010,7044.498,Mahmoud Ahmadinejad,73762519.0
Dates,2011,5442.8232,Mahmoud Ahmadinejad,74634957.0
Dates,2012,9250.565,Mahmoud Ahmadinejad,75539878.0
Dates,2013,17857.8972,Hassan Rouhani,76481961.0
Dates,2014,16926.5025,Hassan Rouhani,77465770.0
Dates,2015,15958.951100000002,Hassan Rouhani,78492215.0
Dates,2016,24270.581400000003,Hassan Rouhani,79563989.0
Dates,2017,27032.673600000002,Hassan Rouhani,80673883.0
Dates,2018,36724.476800000004,Hassan Rouhani,81800188.0
Eggplants (aubergines),1996,266.3516,Akbar Hashemi Rafsanjani,62294920.0
Eggplants (aubergines),1997,552.1872999999999,Mohammad Khatami,63136312.00000001
Eggplants (aubergines),1998,417.74180000000007,Mohammad Khatami,63971835.99999999
Eggplants (aubergines),1999,376.31440000000003,Mohammad Khatami,64800880.0
Eggplants (aubergines),2000,530.1175,Mohammad Khatami,65623405.0
Eggplants (aubergines),2001,568.8449,Mohammad Khatami,66449112.00000001
Eggplants (aubergines),2002,527.6948000000001,Mohammad Khatami,67284796.0
Eggplants (aubergines),2003,804.5526,Mohammad Khatami,68122938.0
Eggplants (aubergines),2004,1161.8936999999999,Mohammad Khatami,68951281.0
Eggplants (aubergines),2005,855.0702000000001,Mahmoud Ahmadinejad,69762347.00000001
Eggplants (aubergines),2006,1286.551,Mahmoud Ahmadinejad,70554760.0
Eggplants (aubergines),2007,1543.4303,Mahmoud Ahmadinejad,71336475.0
Eggplants (aubergines),2008,1792.2628,Mahmoud Ahmadinejad,72120604.0
Eggplants (aubergines),2009,1199.4624,Mahmoud Ahmadinejad,72924837.0
Eggplants (aubergines),2010,1134.0924,Mahmoud Ahmadinejad,73762519.0
Eggplants (aubergines),2011,3833.4376,Mahmoud Ahmadinejad,74634957.0
Eggplants (aubergines),2012,4116.3675,Mahmoud Ahmadinejad,75539878.0
Eggplants (aubergines),2013,6168.69,Hassan Rouhani,76481961.0
Eggplants (aubergines),2014,6889.9296,Hassan Rouhani,77465770.0
Eggplants (aubergines),2015,9048.530899999998,Hassan Rouhani,78492215.0
Eggplants (aubergines),2016,7202.962,Hassan Rouhani,79563989.0
Eggplants (aubergines),2017,6592.0384,Hassan Rouhani,80673883.0
Eggplants (aubergines),2018,13566.848,Hassan Rouhani,81800188.0
"Fruit, citrus nes",2002,1521.6121,Mohammad Khatami,67284796.0
"Fruit, citrus nes",2003,1873.7390999999998,Mohammad Khatami,68122938.0
"Fruit, citrus nes",2004,1515.0267,Mohammad Khatami,68951281.0
